feature,gain_importance,mean_abs_shap
off_farm_income_ratio,0.06134170639861935,0.12342136695731125
cooperative_member,0.1270899754307127,0.12142219349425275
primary_crop,0.2890886533224429,0.11121010784950434
debt_service_coverage_ratio,0.06161448845544332,0.10574803489602207
crop_diversification_index,0.03963008544283705,0.08612346442973619
seasonal_cash_flow_gap_months,0.08844721629472319,0.0729348757160354
years_farming,0.03574021537042574,0.07129762944653827
historical_drought_severity_index,0.041486477494253195,0.06775304634150184
household_size,0.03797312661342332,0.05520675968927113
loan_term_months,0.03849896157874314,0.045096098413037404
loan_amount,0.035320468879349275,0.03923532276953186
farm_size_ha,0.027480922014556177,0.02786658868102443
prior_loans_count,0.03624341345317477,0.025820601586437442
interest_rate,0.022624590438676984,0.024799189888766157
has_irrigation,0.05741969881261891,0.022064661490380603
